-581.8960557996858;-825.6664796974524;-825.6664796974524;-825.6664796974524;-864.4891356793726;-864.4891356793726;-864.4891356793726;-886.2297836865084;-886.2297836865084;-891.4033766972939;-891.4033766972939;-891.4033766972939;-891.4033766972939;-891.4363827191162;-891.4363827191162;-894.3541077503597;-894.3541077503597;-894.3541077503597;-894.3541077503597;-894.3541077503597
-764.9971799503263;-764.9971799503263;-839.4784336187922;-887.1329606275674;-887.1329606275674;-887.1329606275674;-887.1329606275674;-887.1329606275674;-887.1329606275674;-888.6836328137558;-888.6836328137558;-888.6836328137558;-888.6836328137558;-888.7928586070564;-888.7928586070564;-888.8227932306868;-888.8676486667797;-888.8676486667797;-888.8676486667797;-888.934038382567
-747.8681357286468;-895.5281180417869;-895.5281180417869;-895.5281180417869;-933.6545374350658;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212;-959.6405180883212
-656.3143216798624;-656.3143216798624;-656.3143216798624;-714.2243172437911;-714.2243172437911;-714.2243172437911;-714.2243172437911;-714.2243172437911;-717.6991983541786;-717.6991983541786;-717.6991983541786;-717.6991983541786;-717.7822150310833;-717.7822150310833;-717.8076087665809;-718.0491222898686;-718.0491222898686;-718.1388481522724;-718.1388481522724;-718.1388481522724
-814.6790888322304;-897.9631987734642;-897.9631987734642;-897.9631987734642;-897.9631987734642;-932.2478333507481;-932.2478333507481;-932.2478333507481;-932.2478333507481;-932.2478333507481;-932.2478333507481;-932.2478333507481;-937.9019765727961;-937.9019765727961;-959.320192876562;-959.6289718188402;-959.6289718188402;-959.6289718188402;-959.6289718188402;-959.6289718188402
-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.484300550035;-888.6603976703225;-888.6640920958954;-888.6640920958954;-888.6742667667313;-888.938136121229;-888.9417419876715
-704.7406885000055;-791.8257222513523;-854.2935056969081;-870.5898831495565;-902.4326792502967;-923.1706005249627;-945.5214946364304;-945.5214946364304;-957.5574070180776;-959.2195164517536;-959.4247999543641;-959.6321880908679;-959.6321880908679;-959.6321880908679;-959.6321880908679;-959.6321880908679;-959.6353056839798;-959.6353056839798;-959.6404593802265;-959.6404593802265
-553.2305196868206;-747.393352059341;-747.393352059341;-747.393352059341;-752.2430240182182;-752.2430240182182;-752.2430240182182;-752.2430240182182;-752.2430240182182;-752.2430240182182;-752.2430240182182;-783.054003161667;-783.054003161667;-783.054003161667;-783.054003161667;-783.054003161667;-783.054003161667;-786.4557171975412;-786.4557171975412;-786.4557171975412
-890.3721746554538;-890.3721746554538;-890.3721746554538;-890.3721746554538;-890.3721746554538;-890.3721746554538;-890.7656674953994;-890.7656674953994;-890.7656674953994;-893.7127979906459;-893.7127979906459;-893.7127979906459;-893.7127979906459;-893.7127979906459;-893.7127979906459;-894.1458498373925;-894.1458498373925;-894.1458498373925;-894.5029442752895;-894.5029442752895
-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-932.3761088770236;-933.969820740636;-944.5118824359673;-951.1511471904631;-951.1511471904631;-958.4771078150277;-958.4771078150277;-959.2582232793525;-959.2582232793525
